Machine number;Part number;Part name
62925;4410416809;PT Typ DG Schraube 40x18/10-Z
62917;6404109601;SHEETtracs Sonderschraube 60x10
62918;5000233601;Blechschraube ST3,5x8-C
62912;4212192801;DELTA  PT Schraube 40x14
62914;4211408800;DELTA  PT Schraube 30x16-R
62904;4212617809;DELTA PT Schraube 60x20
62918;6002190809;Metrische Schraube M4x40-CH-10.9
62915;6335002809;Altracs Schraube 63x17,7/14-N
62919;6397192809;ALtracs Plus Schraube AP 60x78/18
62909;4212525809;DELTA PT Schraube 40x65/20
62912;5040289320;Blechschraube ST3,9x10-C-H
62912;5000999609;Blechschraube ST4,2x9,5-R
62925;6001143819;Metrische Schraube M5x20-CH-8.8
62914;4015067809;PT Schraube K40x12
62925;6307247801;ALtracs Plus Dobo AP 60x9/M6x15,5-E5
62925;6000990819;Metrische Schraube M6x17-8.8
62912;5000989609;Blechschraube ST4,8X13-R
62916;4220592801;DELTA PT Schraube 35x29/17-R
62912;4234622809;DELTA  PT Schraube 40x12/9-DS
62905;4220909809;DELTA  PT Schraube 60x18
62916;4212508800;DELTA  PT Schraube 50x16
62916;4220658809;DELTA PT Schraube 40x20-Z
62907;6002042809;Metrische Schraube M5x10-10.9
62905;4015019804;PT Schraube K60x22-EC1
62916;4212593809;DELTA PT Schraube 40x25
62912;4014394809;PT Schraube K40x20
62916;6327603809;ALtracs Plus Schraube AP 40x30/12
62901;4250042809;DELTA PT Schraube H50x30/20
62912;4014811801;PT Schraube 35x30
62919;4230771809;DELTA PT Schraube 50x16
62900;6307081800;ALtracs Plus Schraube AP 50x20/15
62912;4212316809;DELTA PT Schraube 30x10
62917;5080034609;Blechschraube ST 4,8x13-R
62913;4014688801;PT Schraube K60x30
62917;4221095806;DELTA PT Schraube 45x14
62912;6397827801;ALtracs Plus Schraube AP 30x6
62905;6404108601;SHEETtracs Sonderschraube 60x10
62912;4212628809;DELTA PT Schraube 30x12-R
62919;4239530801;DELTA PT Schraube WN5452 50x30
62912;4211408809;DELTA  PT Schraube 30x16-R
62919;4412292809;PT Typ DG Schraube 50x20/16-Z
62922;4210831809;DELTA  PT Schraube 40x16
62905;4013756809;PT Schraube K60x18
62912;4220875801;DELTA PT Schraube 30x10
62925;5000383609;Blechschraube ST4,2x13-F
62925;6001778320;Metrische Schraube M3x10-RL
62917;6414147609;SHEETtracs Schraube 50x12
62905;6000441810;Metrische Schraube M6x15,5-8.8
62900;4201020800;DELTA  PT Schraube 40x16
62925;6001516809;Metrische Schraube M 3X8-CH-10.9
62905;6414363609;SHEETtracs Schraube 50x15,5
62912;6002138819;Metrische Schraube M3x20-CH-8.8
62907;6001649809;Metrische Schraube M6x10-CH-10.9
